[ubuntuDockerWorker2] => mem: 0.0112 | hdd: 0.8 | timestamp: 1714042249.4379308 
[ubuntuDockerWorker3] => mem: 0.0649 | hdd: 0.78 | timestamp: 1714042249.492436 
[ubuntuDockerWorker1] => mem: 0.0155 | hdd: 0.8 | timestamp: 1714042249.543846 
[ubuntuDockerWorker1] => mem: 0.0127 | hdd: 0.8 | timestamp: 1714042251.2637448 
[ubuntuDockerWorker3] => mem: 0.0649 | hdd: 0.78 | timestamp: 1714042251.3081784 
[ubuntuDockerWorker2] => mem: 0.0174 | hdd: 0.8 | timestamp: 1714042251.4447048 
[ubuntuDockerWorker3] => mem: 0.0653 | hdd: 0.78 | timestamp: 1714042252.4595368 
[ubuntuDockerWorker2] => mem: 0.0225 | hdd: 0.8 | timestamp: 1714042252.5451791 
[ubuntuDockerWorker1] => mem: 0.007 | hdd: 0.8 | timestamp: 1714042252.5905216 
[ubuntuDockerWorker3] => mem: 0.0683 | hdd: 0.78 | timestamp: 1714042253.447215 
[ubuntuDockerWorker2] => mem: 0.0239 | hdd: 0.8 | timestamp: 1714042253.5022194 
[ubuntuDockerWorker1] => mem: 0.0028 | hdd: 0.8 | timestamp: 1714042253.5325317 
[ubuntuDockerWorker3] => mem: 0.0707 | hdd: 0.78 | timestamp: 1714042254.453272 
[ubuntuDockerWorker2] => mem: 0.0225 | hdd: 0.8 | timestamp: 1714042254.500287 
[ubuntuDockerWorker1] => mem: 0.0056 | hdd: 0.8 | timestamp: 1714042254.5487769 
[ubuntuDockerWorker3] => mem: 0.0769 | hdd: 0.78 | timestamp: 1714042256.3181338 
[ubuntuDockerWorker1] => mem: 0.0043 | hdd: 0.8 | timestamp: 1714042256.3908546 
[ubuntuDockerWorker2] => mem: 0.0098 | hdd: 0.8 | timestamp: 1714042256.45905 
